"cleaning_fee","beds","host_response_time","host_is_superhost","neighbourhood_Bronx","neighbourhood_Brooklyn","neighbourhood_Manhattan","neighbourhood_Queens","neighbourhood_Staten","latitude","longitude","room_apt","room_private","room_shared","accommodates","bathrooms","bedrooms","guests_included","transit","access","minimum_nights","calculated_host_listings_count","property_type","review_scores_rating","reviews_per_month","is_business_travel_ready","review_scores_cleanliness","review_scores_checkin","is_location_exact","review_scores_location","review_scores_value","cancellation_policy","availability_30","availability_60","availability_90","availability_365","bed_airbed","bed_couch","bed_futon","bed_sofa","bed_real","instant_bookable","wifi","heat","air","kitcken","shampoo","essential","tv","gym","washer","dryer","fridge","self_check","hair","smart","aid","hanger","co"
85,1,10,1,0,1,0,0,0,693.2044370688,327.327218864298,0,1,0,2,2.5,1,2,1,1,3,1,0,97,1.26,0,10,10,1,9,10,3,20,25,37,88,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1
79,2,10,0,0,1,0,0,0,711.5398391648,338.880345483091,0,1,0,4,1,1,2,1,1,3,4,0,88,0.57,0,9,9,1,9,9,3,3,19,31,230,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1
40,1,3,0,0,0,1,0,0,797.642211221401,338.225156226997,1,0,0,2,1,1,2,1,1,4,1,0,95,0.62,0,9,10,1,10,10,2,4,5,18,117,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
50,1,6,1,0,0,1,0,0,740.084641465003,297.293620186096,0,1,0,2,1,1,1,1,1,30,2,0,99,0.25,0,10,10,1,10,10,3,0,0,9,284,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1
90,1,10,1,0,1,0,0,0,713.318359663198,358.227342699095,0,1,0,2,2,1,1,1,1,3,1,0,95,3.06,0,9,10,1,9,9,3,17,35,58,333,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
100,2,10,0,0,1,0,0,0,670.532520256799,317.210654290193,1,0,0,3,1,2,3,1,1,2,5,0,95,0.25,0,10,10,1,10,10,3,7,7,17,177,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1
150,6,10,0,0,1,0,0,0,669.407979801903,318.909145449297,1,0,0,9,3,4,9,1,1,2,5,0,96,0.74,0,10,10,1,9,10,3,9,10,20,176,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1
125,1,3,0,0,0,1,0,0,726.444049063602,313.969964385393,1,0,0,2,1,1,2,1,1,5,1,0,98,0.17,0,10,10,1,10,9,3,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1
0,1,10,1,0,1,0,0,0,668.534752886998,310.883993142497,1,0,0,4,1,1,2,1,1,2,1,0,98,4.34,1,10,10,1,10,10,3,8,15,22,228,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1
50,2,6,0,0,0,1,0,0,778.420916559902,324.440341002799,1,0,0,2,1,1,1,0,0,7,1,0,90,0.12,0,8,10,1,9,9,3,0,1,1,31,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
72,2,0,0,0,1,0,0,0,718.483366813999,348.411923750191,1,0,0,3,1,1,2,0,0,5,1,0,98,0.45,0,9,10,1,10,9,3,3,3,3,3,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
50,1,10,0,0,0,0,1,0,742.147268125102,347.250974115099,0,1,0,3,1,1,1,1,1,2,1,0,98,0.15,0,10,10,1,10,10,1,30,44,67,342,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0
15,1,3,0,0,1,0,0,0,712.5988254258,349.987932057402,0,1,0,2,1,1,1,1,1,2,1,0,97,0.94,0,9,10,1,10,9,2,30,57,85,85,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1
80,1,6,0,0,0,1,0,0,788.485285125297,331.173546276602,1,0,0,2,1,0,1,1,1,6,1,0,100,0.23,1,10,10,1,10,10,3,12,12,12,271,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1
28,1,10,0,0,1,0,0,0,711.652489358599,339.130505369795,0,1,0,2,1,1,1,1,1,3,4,0,93,1.81,0,9,9,1,10,9,3,10,23,40,239,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0
80,1,6,0,0,1,0,0,0,713.632306732897,336.020376782301,1,0,0,2,1,1,2,0,0,6,1,0,88,0.28,0,10,10,1,10,8,2,0,0,0,86,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3,3,0,0,0,1,0,0,800.308980153098,331.966559552498,1,0,0,4,2.5,2,4,0,0,7,1,0,100,0.11,0,10,10,1,10,10,3,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
150,3,0,0,0,0,1,0,0,807.742688341797,345.654776216094,1,0,0,4,2,3,4,1,1,7,1,0,100,0.02,0,10,10,1,10,10,1,30,60,90,365,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
50,3,0,0,0,0,1,0,0,827.038983927302,350.9270431028,1,0,0,4,1,1,2,1,1,3,1,0,80,0.05,0,8,10,1,8,8,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1
40,1,10,0,0,1,0,0,0,692.544980154302,326.988360887697,1,0,0,2,1,1,1,0,0,2,4,0,94,0.47,0,9,10,1,10,10,3,2,18,19,229,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
50,2,3,0,0,0,1,0,0,763.671203476399,306.3614421729,1,0,0,4,1,2,1,1,1,1,1,0,93,1.32,0,9,10,1,9,9,3,23,48,78,353,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1
50,2,3,0,0,1,0,0,0,710.4545174709,332.301710933095,1,0,0,4,1,2,2,0,0,2,1,0,95,2.1,0,9,10,1,9,9,3,0,0,0,141,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
185,1,10,1,0,0,1,0,0,706.6619796148,286.258679479303,1,0,0,2,1,0,1,1,1,3,1,0,97,1.09,1,10,10,1,10,10,3,16,17,17,17,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
180,10,0,0,0,0,0,1,0,703.818418342799,402.031424742702,1,0,0,16,2.5,5,9,0,0,30,5,0,88,0.12,0,9,9,1,9,9,3,30,60,90,365,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
30,1,10,1,0,1,0,0,0,678.6825079785,326.929046049699,0,1,0,2,1,1,1,1,1,3,3,0,96,0.45,0,9,10,1,10,10,2,20,36,36,311,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1
75,1,0,0,0,1,0,0,0,673.708819248503,351.287088700303,1,0,0,2,1,2,2,1,0,14,1,0,100,0.04,0,10,8,1,8,10,3,27,57,87,362,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
50,1,0,0,0,0,0,1,0,717.219237067702,421.437849051998,1,0,0,3,1,1,2,0,1,30,5,0,87,0.37,0,9,9,1,9,9,3,30,60,90,365,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
25,1,10,0,0,0,1,0,0,726.814242244103,312.227651575697,0,1,0,2,1,1,2,0,1,2,2,0,89,1.02,0,8,9,1,10,9,3,4,34,61,61,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
50,2,10,0,0,1,0,0,0,719.496684221603,340.240131351493,1,0,0,5,1,2,1,0,0,2,2,0,93,3.12,0,9,10,1,10,9,2,11,17,28,251,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
50,1,6,1,0,0,1,0,0,806.133755649,352.630385987396,1,0,0,4,1,1,2,0,1,5,1,0,95,0.8,0,9,10,1,9,9,3,4,4,10,10,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,6,0,0,1,0,0,0,695.156614874101,375.597129579404,1,0,0,2,1,1,2,1,0,3,1,0,91,0.59,0,8,10,1,8,8,3,0,19,47,240,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
50,1,10,0,0,1,0,0,0,686.559596859396,324.750800461402,0,1,0,1,1,1,2,1,0,3,1,0,94,0.25,0,10,10,1,10,9,2,7,18,35,67,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
0,1,3,0,0,1,0,0,0,689.259372667301,306.137195662799,1,0,0,3,1,1,2,0,1,3,1,0,93,1.88,0,10,10,0,10,9,3,15,40,56,331,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1
100,1,10,1,0,0,1,0,0,767.200986824598,314.92491400229,1,0,0,4,1,1,2,1,1,3,1,0,96,0.89,0,9,10,1,10,9,3,15,18,18,80,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1
50,1,0,0,0,1,0,0,0,731.7046220316,347.313281474001,1,0,0,2,1,1,2,1,1,30,1,0,94,0.1,0,7,10,1,10,8,2,27,57,87,362,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1
80,1,0,0,0,0,1,0,0,725.541264715801,296.372593619793,1,0,0,2,1,1,2,0,0,5,1,0,98,0.14,0,9,10,1,10,10,3,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
100,3,6,0,0,0,1,0,0,720.520742243998,314.114310320704,1,0,0,3,1,1,2,1,1,3,1,0,88,0.39,0,9,10,1,9,9,3,9,9,9,106,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
50,3,10,0,0,0,1,0,0,732.159395476899,290.645761091099,1,0,0,6,1,2,2,1,1,4,1,0,97,0.45,0,9,10,1,10,10,3,0,0,0,31,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1
10,1,3,0,0,0,1,0,0,804.742405923903,351.122356836498,0,1,0,2,1,1,1,1,1,2,2,0,97,0.19,0,9,10,1,9,9,2,29,59,89,364,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1
30,1,6,0,0,1,0,0,0,721.588515951296,339.815377962594,0,1,0,2,1,1,1,1,1,30,4,0,89,0.24,0,7,10,1,10,9,3,26,34,64,339,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0
49,1,0,0,0,0,1,0,0,726.803021817503,309.2077849725,1,0,0,2,1,1,1,0,0,3,1,0,96,0.6,0,10,9,1,10,10,3,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1
50,1,1,0,0,0,1,0,0,793.233174189297,327.334144296799,1,0,0,2,1,1,1,0,0,5,1,0,96,0.35,0,9,10,0,10,10,2,0,0,0,260,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
125,2,6,0,0,1,0,0,0,729.452784731798,344.887473015504,1,0,0,4,2,2,2,0,0,3,3,0,96,1.33,0,9,10,1,10,9,3,16,26,48,284,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1
15,1,10,0,0,0,0,0,1,634.810276252502,214.813188655199,0,1,0,2,1,1,1,0,0,2,4,0,86,1.82,0,8,9,1,8,9,3,20,49,72,346,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
5,1,10,0,1,0,0,0,0,833.333232267499,427.318927787397,0,1,0,1,1,1,1,1,0,31,6,0,93,0.71,0,9,10,1,9,9,3,3,33,63,338,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
85,2,6,0,0,0,1,0,0,729.558108455201,318.415189080099,1,0,0,3,1,2,2,1,1,7,1,0,100,0.11,0,10,10,1,10,10,3,24,52,81,356,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1
60,2,10,0,0,0,1,0,0,813.221460224902,346.94389789,1,0,0,5,1,2,4,1,1,6,1,0,86,1.74,0,9,10,1,8,9,2,8,11,17,183,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
100,2,10,0,0,0,1,0,0,829.7560641196,351.331719980493,1,0,0,2,1,1,2,1,1,30,1,0,91,0.82,0,8,10,1,9,9,3,0,0,14,289,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1
75,2,1,0,0,0,1,0,0,779.855925877897,351.887452645002,1,0,0,4,1,2,1,1,1,2,1,0,96,0.27,0,9,10,1,9,9,3,2,32,62,329,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1
40,1,6,0,0,1,0,0,0,705.141750197498,380.780837266201,0,1,0,2,1,1,1,0,0,5,1,0,95,0.51,0,9,9,1,9,9,2,0,0,6,211,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,10,0,0,1,0,0,0,728.9762452248,344.481845327294,1,0,0,4,1,1,2,0,0,1,1,0,100,0.59,0,10,10,1,10,10,3,0,0,0,64,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2,3,0,0,0,1,0,0,777.276007103097,321.819179168102,1,0,0,4,1,1,2,1,1,28,1,0,89,0.39,0,8,10,1,10,9,2,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0
80,1,10,0,0,1,0,0,0,729.544118710599,340.2401386424,1,0,0,3,1,1,1,1,1,2,1,0,92,0.47,0,8,9,1,9,9,2,24,54,84,174,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
60,2,10,1,0,0,1,0,0,718.757324876002,316.056958499701,1,0,0,3,1,1,2,0,0,3,1,0,96,2.58,0,10,10,1,9,9,3,7,8,13,129,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1
150,2,10,0,0,0,1,0,0,738.981990712901,317.93153377329,1,0,0,4,1.5,2,1,1,1,4,1,0,85,0.54,0,9,8,1,9,9,3,13,13,13,197,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0
60,1,0,0,0,0,1,0,0,735.113325853398,320.925402672003,1,0,0,2,1,1,1,1,0,2,1,0,96,0.26,0,10,10,1,10,9,3,30,60,90,365,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
80,2,0,0,0,1,0,0,0,686.735347736601,311.24402571929,1,0,0,4,2.5,2,2,1,0,4,1,0,92,0.13,0,8,10,1,10,9,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1
100,2,10,0,0,1,0,0,0,694.4116066717,302.288782558094,1,0,0,4,1,2,1,1,1,3,2,0,95,0.87,1,9,10,1,10,9,2,11,41,62,148,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1
10,1,10,0,0,1,0,0,0,717.471630005903,344.299643819696,0,1,0,2,1,1,1,0,0,1,1,0,92,0.13,0,10,10,1,9,10,3,29,59,89,364,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3,0,0,0,1,0,0,0,675.914389705497,352.854162625903,1,0,0,6,1.5,3,5,1,0,5,1,0,80,0.04,0,8,9,1,8,9,3,1,31,61,336,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1
0,1,10,0,0,1,0,0,0,680.478803341501,350.891862837798,1,0,0,3,1,1,1,0,0,2,4,0,89,1.9,0,9,9,1,8,9,3,30,60,90,365,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
35,1,10,0,0,0,1,0,0,852.950575352502,366.389246353592,0,1,0,3,1,1,1,1,1,2,1,0,94,1.27,0,9,10,1,9,9,3,22,33,48,318,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
99,1,6,1,0,0,1,0,0,739.495787166597,298.767506976802,1,0,0,2,1,1,2,1,1,31,1,0,97,0.35,1,9,10,1,10,9,3,4,34,62,290,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1
70,1,3,0,0,1,0,0,0,705.681347086603,350.161039989302,1,0,0,2,1,1,1,0,0,7,1,0,92,0.32,0,9,10,1,9,9,3,22,24,47,322,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,1,0,586.147583189302,487.546091661102,0,1,0,1,1,1,1,1,1,27,1,0,98,0.16,0,9,10,1,10,9,3,28,58,88,363,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
50,1,6,1,0,0,1,0,0,827.725917540398,347.686679788794,0,1,0,1,1.5,1,1,1,1,3,2,0,96,3.8,0,9,10,1,9,10,3,10,20,34,264,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1
80,3,3,0,0,1,0,0,0,665.267470468997,311.399213565693,1,0,0,6,2,3,2,1,1,2,2,0,90,0.33,0,8,9,1,9,8,3,5,10,10,184,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
40,1,6,0,0,0,1,0,0,755.790508695199,333.006053790996,1,0,0,3,1,1,1,0,0,5,1,0,95,0.44,0,9,10,1,10,9,3,2,2,2,65,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1
60,2,10,1,0,1,0,0,0,676.442534610104,319.180921982095,1,0,0,4,2,2,2,0,0,2,2,0,99,0.28,0,10,10,1,10,10,2,0,0,8,181,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1
50,2,10,1,0,0,0,1,0,709.249816823203,447.375432107492,1,0,0,3,1,1,1,1,1,30,3,0,95,0.58,0,10,10,1,10,9,3,8,17,21,111,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1
0,1,0,0,0,0,1,0,0,727.719083502699,300.440208063193,1,0,0,2,1,1,1,1,1,60,1,0,89,0.52,0,9,10,1,10,8,3,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1
100,2,0,0,0,0,1,0,0,777.945221981,322.126654976202,1,0,0,4,1,2,4,0,0,2,1,0,93,0.09,0,9,10,1,10,9,3,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
120,1,10,0,0,0,1,0,0,752.836564512997,292.84883954719,1,0,0,2,1,1,1,0,0,6,1,0,95,0.28,0,10,9,1,10,9,3,11,11,17,246,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0
80,2,0,0,0,0,1,0,0,744.585817537903,318.527183064703,1,0,0,4,1,1,1,1,0,4,1,0,87,0.45,0,8,9,1,9,8,3,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1
25,1,10,0,0,0,1,0,0,798.809515963796,357.113176952197,0,1,0,2,1,1,2,1,1,1,2,0,92,1.45,0,9,10,1,9,9,3,1,2,8,8,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1
50,1,3,1,0,0,1,0,0,720.938944787299,302.941558998299,1,0,0,2,1,1,2,0,0,3,1,0,93,0.71,0,10,10,1,10,9,3,29,48,53,328,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
40,1,0,0,0,0,1,0,0,724.853521482203,321.868770403597,1,0,0,2,1,0,1,0,0,4,1,0,92,0.28,0,7,9,1,9,9,3,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
100,2,10,0,0,0,1,0,0,804.734362452201,346.795048391698,1,0,0,4,1,2,4,0,0,8,1,0,97,0.16,0,9,10,1,9,9,3,30,60,90,365,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
30,2,0,0,0,1,0,0,0,719.4252916727,343.499697780103,1,0,0,3,1,1,2,1,0,7,1,0,94,0.1,0,10,10,1,10,10,2,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
100,3,3,0,0,0,1,0,0,720.075639027399,315.957021334796,1,0,0,4,1,2,1,0,0,2,1,0,100,0.09,0,10,10,1,10,10,3,0,2,6,244,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
90,1,10,1,0,0,1,0,0,726.666025493799,317.364291829293,1,0,0,3,1,1,2,1,0,3,1,0,96,1.75,0,10,10,1,10,10,3,15,26,35,267,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0
70,1,3,0,0,1,0,0,0,685.0380203676,341.373079674099,1,0,0,2,1,1,2,1,1,30,1,0,98,0.29,1,10,10,1,9,10,3,1,3,31,306,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1
